"","countries[[i]]","accuracy","precision_value","sensitivity","specificity","prevalence","PPV","FDR","NPV","FOR","NER","f1score","cohen_kappa","mcc_man","auc_train1","auc_test","mcc_man.1","tn","fn","fp","tp"
"38","nigeria",0.961803381340013,0.829131652661064,1,0.953112990007686,0.185347526612398,0.829131652661064,0.170868347338936,1,0,0.185347526612398,0.906584992343032,0.882841429373768,0.888963524886034,0.977303780173068,0.976556495003843,0.888963524886034,1240,0,61,296
"39","rwanda",0.95198989260897,0.575418994413408,1,0.948648648648649,0.0650663297536323,0.575418994413408,0.424581005586592,1,0,0.0650663297536323,0.730496453900709,0.706230526552259,0.738830461917376,0.977160080375084,0.974324324324324,0.738830461917376,1404,0,76,103
"40","saint-helena-ascension-and-tristan-da-cunha",1,1,1,1,0.41025641025641,1,0,1,0,0.41025641025641,1,1,1,1,1,1,46,0,0,32
"41","sao-tome-and-principe",0.9625,0.8,1,0.955882352941177,0.15,0.8,0.2,1,0,0.15,0.888888888888889,0.866666666666667,0.874474632195206,0.995253164556962,0.977941176470588,0.874474632195206,65,0,3,12
"42","senegal-and-gambia",0.94531741043369,0.778061224489796,1,0.932348367029549,0.191703331238215,0.778061224489796,0.221938775510204,1,0,0.191703331238215,0.875179340028694,0.840864697570841,0.851718329086601,0.961804488164771,0.966174183514774,0.851718329086601,1199,0,87,305
"43","seychelles",0.958333333333333,0.916666666666667,1,0.923076923076923,0.458333333333333,0.916666666666667,0.0833333333333333,1,0,0.458333333333333,0.956521739130435,0.916666666666667,0.9198662110078,0.96195652173913,0.961538461538462,0.9198662110078,36,0,3,33
"44","sierra-leone",0.945569620253165,0.71043771043771,1,0.93718042366691,0.133544303797468,0.71043771043771,0.28956228956229,1,0,0.133544303797468,0.830708661417323,0.799381667961011,0.815970780394104,0.970144927536232,0.968590211833455,0.815970780394104,1283,0,86,211
"45","somalia",0.989607390300231,0.735294117647059,1,0.989298454221165,0.0288683602771363,0.735294117647058,0.264705882352942,1,0,0.0288683602771363,0.847457627118644,0.842207555573551,0.852892334345989,0.992133271633503,0.994649227110583,0.852892334345989,832,0,9,25
"46","south-africa",0.944444444444444,0.810234541577825,1,0.927168576104746,0.237203495630462,0.810234541577825,0.189765458422175,1,0,0.237203495630462,0.895170789163722,0.857941649446325,0.866731796016273,0.965358361774744,0.963584288052373,0.866731796016273,1133,0,89,380
"47","south-sudan",0.993722536095417,0.87012987012987,1,0.993446920052425,0.0420590081607031,0.87012987012987,0.12987012987013,1,0,0.0420590081607031,0.930555555555556,0.92728484439048,0.92974611562842,0.996372587122684,0.996723460026212,0.92974611562842,1516,0,10,67
"48","sudan",0.837748344370861,0.703030303030303,1,0.736559139784946,0.384105960264901,0.703030303030303,0.296969696969697,1,0,0.384105960264901,0.825622775800712,0.682323644326134,0.719599468623171,0.865425531914894,0.868279569892473,0.719599468623171,137,0,49,116
"49","swaziland",0.969050894085282,0.86646884272997,1,0.961273666092943,0.200825309491059,0.86646884272997,0.13353115727003,1,0,0.200825309491059,0.92845786963434,0.908841141443216,0.91264104718468,0.977629781420765,0.980636833046472,0.91264104718468,1117,0,45,292
"50","tanzania",0.989987484355444,0.961259079903148,1,0.986677768526228,0.248435544430538,0.961259079903148,0.0387409200968523,1,0,0.248435544430538,0.980246913580247,0.973544634117571,0.973885498369502,0.990733010519285,0.993338884263114,0.973885498369502,1185,0,16,397
"51","togo",0.959272727272727,0.888667992047714,1,0.939655172413793,0.325090909090909,0.888667992047714,0.111332007952286,1,0,0.325090909090909,0.941052631578947,0.910106378010853,0.913806038109956,0.97060773480663,0.969827586206897,0.913806038109956,872,0,56,447
"52","tunisia",0.979025293028994,0.855932203389831,1,0.976039464411557,0.124614435533621,0.85593220338983,0.14406779661017,1,0,0.124614435533621,0.922374429223744,0.910333293202354,0.914015103468873,0.987390113849258,0.988019732205779,0.914015103468873,1385,0,34,202
"53","uganda",0.991925465838509,0.926553672316384,1,0.991009681881051,0.101863354037267,0.926553672316385,0.0734463276836155,1,0,0.101863354037267,0.961876832844575,0.957368714787943,0.958239876047736,0.994277440706012,0.995504840940526,0.958239876047736,1433,0,13,164
"54","zambia",0.988728866624922,0.934782608695652,1,0.9865571321882,0.161552911709455,0.934782608695652,0.0652173913043477,1,0,0.161552911709455,0.966292134831461,0.95953444766337,0.960321013856402,0.994704653937947,0.9932785660941,0.960321013856402,1321,0,18,258
"55","zimbabwe",0.972772277227723,0.666666666666667,1,0.971204188481675,0.0544554455445545,0.666666666666667,0.333333333333333,1,0,0.0544554455445545,0.8,0.786016949152542,0.804654869486157,0.98659410671622,0.985602094240838,0.804654869486157,1484,0,44,88
